instance_path,m,n,seed,milp_time,exact_time
dataset_D1/m_04_n_04_seed_00.txt,4,4,0,0.092017,0.007109
dataset_D1/m_04_n_04_seed_01.txt,4,4,1,0.284794,0.005786
dataset_D1/m_04_n_04_seed_02.txt,4,4,2,0.082312,0.011683
dataset_D1/m_04_n_04_seed_03.txt,4,4,3,0.143584,0.010232
dataset_D1/m_04_n_04_seed_04.txt,4,4,4,0.253076,0.010625
dataset_D1/m_04_n_04_seed_05.txt,4,4,5,0.054770,0.008654
dataset_D1/m_04_n_04_seed_06.txt,4,4,6,0.040631,0.007616
dataset_D1/m_04_n_04_seed_07.txt,4,4,7,0.421687,0.009203
dataset_D1/m_04_n_04_seed_08.txt,4,4,8,0.054760,0.010066
dataset_D1/m_04_n_04_seed_09.txt,4,4,9,0.041093,0.009886
dataset_D1/m_04_n_06_seed_00.txt,4,6,0,1.401056,0.011196
dataset_D1/m_04_n_06_seed_01.txt,4,6,1,1.324271,0.007639
dataset_D1/m_04_n_06_seed_02.txt,4,6,2,2.564294,0.011881
dataset_D1/m_04_n_06_seed_03.txt,4,6,3,2.267660,0.009270
dataset_D1/m_04_n_06_seed_04.txt,4,6,4,1.367712,0.010659
dataset_D1/m_04_n_06_seed_05.txt,4,6,5,1.695690,0.009635
dataset_D1/m_04_n_06_seed_06.txt,4,6,6,1.267668,0.010959
dataset_D1/m_04_n_06_seed_07.txt,4,6,7,1.374162,0.011197
dataset_D1/m_04_n_06_seed_08.txt,4,6,8,1.680340,0.011057
dataset_D1/m_04_n_06_seed_09.txt,4,6,9,1.423098,0.008884
dataset_D1/m_04_n_08_seed_00.txt,4,8,0,6.265515,0.014167
dataset_D1/m_04_n_08_seed_01.txt,4,8,1,4.565184,0.010749
dataset_D1/m_04_n_08_seed_02.txt,4,8,2,6.269950,0.010854
dataset_D1/m_04_n_08_seed_03.txt,4,8,3,5.129274,0.009274
dataset_D1/m_04_n_08_seed_04.txt,4,8,4,6.520162,0.011175
dataset_D1/m_04_n_08_seed_05.txt,4,8,5,0.609512,0.012238
dataset_D1/m_04_n_08_seed_06.txt,4,8,6,7.526112,0.010140
dataset_D1/m_04_n_08_seed_07.txt,4,8,7,6.589218,0.010709
dataset_D1/m_04_n_08_seed_08.txt,4,8,8,4.675747,0.010522
dataset_D1/m_04_n_08_seed_09.txt,4,8,9,5.333298,0.013445
dataset_D1/m_04_n_10_seed_00.txt,4,10,0,14.191825,0.016441
dataset_D1/m_04_n_10_seed_01.txt,4,10,1,14.574055,0.011846
dataset_D1/m_04_n_10_seed_02.txt,4,10,2,13.644868,0.012122
dataset_D1/m_04_n_10_seed_03.txt,4,10,3,11.371233,0.011396
dataset_D1/m_04_n_10_seed_04.txt,4,10,4,74.236173,0.011605
dataset_D1/m_04_n_10_seed_05.txt,4,10,5,25.816395,0.013446
dataset_D1/m_04_n_10_seed_06.txt,4,10,6,16.531915,0.011846
dataset_D1/m_04_n_10_seed_07.txt,4,10,7,30.031773,0.013111
dataset_D1/m_04_n_10_seed_08.txt,4,10,8,15.341123,0.011224
dataset_D1/m_04_n_10_seed_09.txt,4,10,9,38.584768,0.011204
dataset_D1/m_05_n_04_seed_00.txt,5,4,0,1.161850,0.007139
dataset_D1/m_05_n_04_seed_01.txt,5,4,1,0.511669,0.015934
dataset_D1/m_05_n_04_seed_02.txt,5,4,2,0.976796,0.014538
dataset_D1/m_05_n_04_seed_03.txt,5,4,3,0.448979,0.013922
dataset_D1/m_05_n_04_seed_04.txt,5,4,4,0.602704,0.012252
dataset_D1/m_05_n_04_seed_05.txt,5,4,5,0.675979,0.011045
dataset_D1/m_05_n_04_seed_06.txt,5,4,6,1.129064,0.013721
dataset_D1/m_05_n_04_seed_07.txt,5,4,7,0.055947,0.013987
dataset_D1/m_05_n_04_seed_08.txt,5,4,8,0.549064,0.012681
dataset_D1/m_05_n_04_seed_09.txt,5,4,9,0.593685,0.011101
dataset_D1/m_05_n_06_seed_00.txt,5,6,0,5.405252,0.016168
dataset_D1/m_05_n_06_seed_01.txt,5,6,1,3.884250,0.011326
dataset_D1/m_05_n_06_seed_02.txt,5,6,2,6.542531,0.010810
dataset_D1/m_05_n_06_seed_03.txt,5,6,3,6.748669,0.010434
dataset_D1/m_05_n_06_seed_04.txt,5,6,4,3.641951,0.012174
dataset_D1/m_05_n_06_seed_05.txt,5,6,5,5.880550,0.015895
dataset_D1/m_05_n_06_seed_06.txt,5,6,6,5.419409,0.012083
dataset_D1/m_05_n_06_seed_07.txt,5,6,7,4.390279,0.008439
dataset_D1/m_05_n_06_seed_08.txt,5,6,8,12.252834,0.009536
dataset_D1/m_05_n_06_seed_09.txt,5,6,9,10.400075,0.014232
dataset_D1/m_05_n_08_seed_00.txt,5,8,0,67.188441,0.021666
dataset_D1/m_05_n_08_seed_01.txt,5,8,1,87.040527,0.013187
dataset_D1/m_05_n_08_seed_02.txt,5,8,2,37.089902,0.021064
dataset_D1/m_05_n_08_seed_03.txt,5,8,3,34.814870,0.013626
dataset_D1/m_05_n_08_seed_04.txt,5,8,4,16.653457,0.014802
dataset_D1/m_05_n_08_seed_05.txt,5,8,5,131.016000,0.013694
dataset_D1/m_05_n_08_seed_06.txt,5,8,6,TIME_LIMIT,
dataset_D1/m_05_n_08_seed_07.txt,5,8,7,35.698395,0.011778
dataset_D1/m_05_n_08_seed_08.txt,5,8,8,TIME_LIMIT,
dataset_D1/m_05_n_08_seed_09.txt,5,8,9,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_00.txt,5,10,0,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_01.txt,5,10,1,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_02.txt,5,10,2,108.766464,0.019063
dataset_D1/m_05_n_10_seed_03.txt,5,10,3,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_04.txt,5,10,4,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_05.txt,5,10,5,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_06.txt,5,10,6,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_07.txt,5,10,7,189.057959,0.013943
dataset_D1/m_05_n_10_seed_08.txt,5,10,8,TIME_LIMIT,
dataset_D1/m_05_n_10_seed_09.txt,5,10,9,TIME_LIMIT,
dataset_D1/m_06_n_04_seed_00.txt,6,4,0,1.320826,0.013886
dataset_D1/m_06_n_04_seed_01.txt,6,4,1,2.002778,0.008320
dataset_D1/m_06_n_04_seed_02.txt,6,4,2,1.516789,0.009851
dataset_D1/m_06_n_04_seed_03.txt,6,4,3,1.634212,0.008739
dataset_D1/m_06_n_04_seed_04.txt,6,4,4,2.386913,0.013666
dataset_D1/m_06_n_04_seed_05.txt,6,4,5,1.711569,0.012064
dataset_D1/m_06_n_04_seed_06.txt,6,4,6,2.702268,0.016843
dataset_D1/m_06_n_04_seed_07.txt,6,4,7,0.560780,0.015125
dataset_D1/m_06_n_04_seed_08.txt,6,4,8,1.616268,0.011218
dataset_D1/m_06_n_04_seed_09.txt,6,4,9,2.764820,0.007644
dataset_D1/m_06_n_06_seed_00.txt,6,6,0,79.619946,0.017598
dataset_D1/m_06_n_06_seed_01.txt,6,6,1,10.347820,0.013670
dataset_D1/m_06_n_06_seed_02.txt,6,6,2,97.692593,0.017272
dataset_D1/m_06_n_06_seed_03.txt,6,6,3,26.012018,0.016800
dataset_D1/m_06_n_06_seed_04.txt,6,6,4,25.355739,0.020940
dataset_D1/m_06_n_06_seed_05.txt,6,6,5,40.526935,0.018452
dataset_D1/m_06_n_06_seed_06.txt,6,6,6,107.882598,0.020944
dataset_D1/m_06_n_06_seed_07.txt,6,6,7,87.218093,0.016034
dataset_D1/m_06_n_06_seed_08.txt,6,6,8,12.050760,0.014021
dataset_D1/m_06_n_06_seed_09.txt,6,6,9,8.933509,0.020260
dataset_D1/m_06_n_08_seed_00.txt,6,8,0,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_01.txt,6,8,1,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_02.txt,6,8,2,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_03.txt,6,8,3,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_04.txt,6,8,4,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_05.txt,6,8,5,205.096454,0.022709
dataset_D1/m_06_n_08_seed_06.txt,6,8,6,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_07.txt,6,8,7,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_08.txt,6,8,8,TIME_LIMIT,
dataset_D1/m_06_n_08_seed_09.txt,6,8,9,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_00.txt,6,10,0,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_01.txt,6,10,1,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_02.txt,6,10,2,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_03.txt,6,10,3,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_04.txt,6,10,4,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_05.txt,6,10,5,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_06.txt,6,10,6,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_07.txt,6,10,7,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_08.txt,6,10,8,TIME_LIMIT,
dataset_D1/m_06_n_10_seed_09.txt,6,10,9,TIME_LIMIT,
dataset_D1/m_07_n_04_seed_00.txt,7,4,0,2.842454,0.017397
dataset_D1/m_07_n_04_seed_01.txt,7,4,1,2.407027,0.011510
dataset_D1/m_07_n_04_seed_02.txt,7,4,2,5.305165,0.011593
dataset_D1/m_07_n_04_seed_03.txt,7,4,3,3.465121,0.010667
dataset_D1/m_07_n_04_seed_04.txt,7,4,4,2.686058,0.010908
dataset_D1/m_07_n_04_seed_05.txt,7,4,5,4.245046,0.014082
dataset_D1/m_07_n_04_seed_06.txt,7,4,6,5.358357,0.010597
dataset_D1/m_07_n_04_seed_07.txt,7,4,7,5.352246,0.013258
dataset_D1/m_07_n_04_seed_08.txt,7,4,8,3.800972,0.011794
dataset_D1/m_07_n_04_seed_09.txt,7,4,9,1.631417,0.013997
dataset_D1/m_07_n_06_seed_00.txt,7,6,0,44.126733,0.031297
dataset_D1/m_07_n_06_seed_01.txt,7,6,1,TIME_LIMIT,
dataset_D1/m_07_n_06_seed_02.txt,7,6,2,77.975490,0.031439
dataset_D1/m_07_n_06_seed_03.txt,7,6,3,TIME_LIMIT,
dataset_D1/m_07_n_06_seed_04.txt,7,6,4,TIME_LIMIT,
dataset_D1/m_07_n_06_seed_05.txt,7,6,5,126.619753,0.034665
dataset_D1/m_07_n_06_seed_06.txt,7,6,6,164.868164,0.029951
dataset_D1/m_07_n_06_seed_07.txt,7,6,7,TIME_LIMIT,
dataset_D1/m_07_n_06_seed_08.txt,7,6,8,209.676286,0.033488
dataset_D1/m_07_n_06_seed_09.txt,7,6,9,82.089652,0.029413
dataset_D1/m_07_n_08_seed_00.txt,7,8,0,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_01.txt,7,8,1,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_02.txt,7,8,2,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_03.txt,7,8,3,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_04.txt,7,8,4,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_05.txt,7,8,5,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_06.txt,7,8,6,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_07.txt,7,8,7,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_08.txt,7,8,8,TIME_LIMIT,
dataset_D1/m_07_n_08_seed_09.txt,7,8,9,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_00.txt,7,10,0,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_01.txt,7,10,1,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_02.txt,7,10,2,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_03.txt,7,10,3,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_04.txt,7,10,4,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_05.txt,7,10,5,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_06.txt,7,10,6,TIME_LIMIT,
dataset_D1/m_07_n_10_seed_07.txt,7,10,7,TIME_LIMIT,
