instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_04_n_04_seed_00.txt,4,4,0,664,0.00710901,1004,724,699,664,0.00276796
dataset_D1/m_04_n_04_seed_01.txt,4,4,1,753,0.00578601,1212,760,795,753,0.0014251
dataset_D1/m_04_n_04_seed_02.txt,4,4,2,637,0.0116834,985,703,644,637,0.00151481
dataset_D1/m_04_n_04_seed_03.txt,4,4,3,729,0.0102317,1147,754,770,729,0.00166537
dataset_D1/m_04_n_04_seed_04.txt,4,4,4,612,0.0106252,1085,626,667,612,0.00167516
dataset_D1/m_04_n_04_seed_05.txt,4,4,5,664,0.00865365,1233,678,686,664,0.00171396
dataset_D1/m_04_n_04_seed_06.txt,4,4,6,676,0.00761612,1068,717,681,676,0.00285184
dataset_D1/m_04_n_04_seed_07.txt,4,4,7,644,0.009203,822,756,657,644,0.00222464
dataset_D1/m_04_n_04_seed_08.txt,4,4,8,675,0.0100663,1023,681,703,675,0.0015787
dataset_D1/m_04_n_04_seed_09.txt,4,4,9,668,0.00988566,1075,705,685,668,0.00155039
dataset_D1/m_04_n_06_seed_00.txt,4,6,0,902,0.0111964,1676,964,906,902,0.00655591
dataset_D1/m_04_n_06_seed_01.txt,4,6,1,1081,0.00763866,1900,1124,1114,1081,0.00757439
dataset_D1/m_04_n_06_seed_02.txt,4,6,2,962,0.0118808,1479,1123,1018,962,0.00952611
dataset_D1/m_04_n_06_seed_03.txt,4,6,3,1031,0.00927045,1747,1060,1078,1031,0.00791358
dataset_D1/m_04_n_06_seed_04.txt,4,6,4,994,0.0106588,1606,1036,1045,994,0.0107694
dataset_D1/m_04_n_06_seed_05.txt,4,6,5,952,0.00963506,1699,1082,963,952,0.00995857
dataset_D1/m_04_n_06_seed_06.txt,4,6,6,936,0.0109594,1691,976,963,936,0.0126544
dataset_D1/m_04_n_06_seed_07.txt,4,6,7,831,0.0111969,1402,846,865,831,0.0080263
dataset_D1/m_04_n_06_seed_08.txt,4,6,8,964,0.0110573,1551,1045,1045,964,0.0116505
dataset_D1/m_04_n_06_seed_09.txt,4,6,9,905,0.00888369,1561,930,983,905,0.0103331
dataset_D1/m_04_n_08_seed_00.txt,4,8,0,1220,0.0141665,2107,1273,1252,1220,0.00847232
dataset_D1/m_04_n_08_seed_01.txt,4,8,1,1119,0.0107489,2196,1142,1164,1119,0.010196
dataset_D1/m_04_n_08_seed_02.txt,4,8,2,1349,0.0108545,2371,1468,1463,1349,0.0122187
dataset_D1/m_04_n_08_seed_03.txt,4,8,3,1301,0.0092744,2311,1402,1339,1301,0.0122513
dataset_D1/m_04_n_08_seed_04.txt,4,8,4,1214,0.011175,1972,1292,1267,1214,0.0147298
dataset_D1/m_04_n_08_seed_05.txt,4,8,5,1105,0.0122385,1984,1131,1160,1105,0.0141531
dataset_D1/m_04_n_08_seed_06.txt,4,8,6,1314,0.0101402,2241,1412,1411,1314,0.0115697
