instance_path,tr,pr,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D2/tr_10_pr_10/m_12_n_10_seed_00.txt,10,10,12,10,0,928,0.60852,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_01.txt,10,10,12,10,1,850,0.625524,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_02.txt,10,10,12,10,2,856,0.59293,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_03.txt,10,10,12,10,3,887,0.623979,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_04.txt,10,10,12,10,4,852,0.626243,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_05.txt,10,10,12,10,5,856,0.6166,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_06.txt,10,10,12,10,6,894,0.597964,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_07.txt,10,10,12,10,7,865,0.609537,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_08.txt,10,10,12,10,8,871,0.591971,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_09.txt,10,10,12,10,9,924,0.661885,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_10.txt,10,10,12,10,10,976,0.612717,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_11.txt,10,10,12,10,11,891,0.611801,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_12.txt,10,10,12,10,12,905,0.577187,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_13.txt,10,10,12,10,13,891,0.644955,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_14.txt,10,10,12,10,14,812,0.61227,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_15.txt,10,10,12,10,15,930,0.588669,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_16.txt,10,10,12,10,16,844,0.630912,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_17.txt,10,10,12,10,17,957,0.618222,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_18.txt,10,10,12,10,18,976,0.646027,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_19.txt,10,10,12,10,19,957,0.593703,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_20.txt,10,10,12,10,20,896,0.647466,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_21.txt,10,10,12,10,21,945,0.620308,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_22.txt,10,10,12,10,22,879,0.575678,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_23.txt,10,10,12,10,23,906,0.657955,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_24.txt,10,10,12,10,24,942,0.625461,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_25.txt,10,10,12,10,25,898,0.593539,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_26.txt,10,10,12,10,26,942,0.636788,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_27.txt,10,10,12,10,27,950,0.632883,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_28.txt,10,10,12,10,28,783,0.566893,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_29.txt,10,10,12,10,29,877,0.60422,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_30.txt,10,10,12,10,30,856,0.616109,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_31.txt,10,10,12,10,31,928,0.630061,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_32.txt,10,10,12,10,32,831,0.665731,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_33.txt,10,10,12,10,33,885,0.596491,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_34.txt,10,10,12,10,34,869,0.606606,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_35.txt,10,10,12,10,35,892,0.58889,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_36.txt,10,10,12,10,36,838,0.599408,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_37.txt,10,10,12,10,37,879,0.659087,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_38.txt,10,10,12,10,38,839,0.575699,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_39.txt,10,10,12,10,39,860,0.632043,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_40.txt,10,10,12,10,40,904,0.665587,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_41.txt,10,10,12,10,41,964,0.581261,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_42.txt,10,10,12,10,42,863,0.646197,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_43.txt,10,10,12,10,43,914,0.663389,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_44.txt,10,10,12,10,44,904,0.603188,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_45.txt,10,10,12,10,45,893,0.641116,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_46.txt,10,10,12,10,46,954,0.641889,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_47.txt,10,10,12,10,47,864,0.666271,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_48.txt,10,10,12,10,48,867,0.609513,,,,,
dataset_D2/tr_10_pr_10/m_12_n_10_seed_49.txt,10,10,12,10,49,908,0.649097,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_00.txt,10,10,12,20,0,1767,2.0363,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_01.txt,10,10,12,20,1,1785,1.83434,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_02.txt,10,10,12,20,2,1680,1.92567,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_03.txt,10,10,12,20,3,1796,1.95059,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_04.txt,10,10,12,20,4,1759,1.75832,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_05.txt,10,10,12,20,5,1744,2.05073,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_06.txt,10,10,12,20,6,1866,1.92471,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_07.txt,10,10,12,20,7,1765,1.83881,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_08.txt,10,10,12,20,8,1849,1.96306,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_09.txt,10,10,12,20,9,1695,1.86468,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_10.txt,10,10,12,20,10,1772,2.0092,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_11.txt,10,10,12,20,11,1638,1.97057,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_12.txt,10,10,12,20,12,1838,1.94888,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_13.txt,10,10,12,20,13,1840,1.98407,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_14.txt,10,10,12,20,14,1742,2.09873,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_15.txt,10,10,12,20,15,1717,1.89227,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_16.txt,10,10,12,20,16,1780,1.92765,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_17.txt,10,10,12,20,17,1814,1.99011,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_18.txt,10,10,12,20,18,1804,1.96637,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_19.txt,10,10,12,20,19,1783,1.89015,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_20.txt,10,10,12,20,20,1695,1.84529,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_21.txt,10,10,12,20,21,1862,1.89608,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_22.txt,10,10,12,20,22,1827,1.94136,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_23.txt,10,10,12,20,23,1671,2.03587,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_24.txt,10,10,12,20,24,1889,1.94133,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_25.txt,10,10,12,20,25,1871,1.94166,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_26.txt,10,10,12,20,26,1738,1.9679,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_27.txt,10,10,12,20,27,1775,1.8779,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_28.txt,10,10,12,20,28,1790,2.07788,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_29.txt,10,10,12,20,29,1672,2.00881,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_30.txt,10,10,12,20,30,1853,1.96151,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_31.txt,10,10,12,20,31,1849,2.04421,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_32.txt,10,10,12,20,32,1645,1.89532,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_33.txt,10,10,12,20,33,1719,1.86293,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_34.txt,10,10,12,20,34,1759,1.89846,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_35.txt,10,10,12,20,35,1882,1.97004,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_36.txt,10,10,12,20,36,1808,1.93279,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_37.txt,10,10,12,20,37,1663,1.85938,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_38.txt,10,10,12,20,38,1646,1.93265,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_39.txt,10,10,12,20,39,1823,2.04087,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_40.txt,10,10,12,20,40,1850,1.93752,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_41.txt,10,10,12,20,41,1952,1.98705,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_42.txt,10,10,12,20,42,1769,1.85728,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_43.txt,10,10,12,20,43,1828,1.84203,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_44.txt,10,10,12,20,44,1803,2.06112,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_45.txt,10,10,12,20,45,1792,1.87641,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_46.txt,10,10,12,20,46,1786,1.90469,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_47.txt,10,10,12,20,47,1640,1.90727,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_48.txt,10,10,12,20,48,1789,1.87426,,,,,
dataset_D2/tr_10_pr_10/m_12_n_20_seed_49.txt,10,10,12,20,49,1799,2.05744,,,,,
dataset_D2/tr_10_pr_10/m_12_n_30_seed_00.txt,10,10,12,30,0,2537,3.16375,,,,,
dataset_D2/tr_10_pr_10/m_12_n_30_seed_01.txt,10,10,12,30,1,2703,3.13155,,,,,
dataset_D2/tr_10_pr_10/m_12_n_30_seed_02.txt,10,10,12,30,2,2543,3.54294,,,,,
dataset_D2/tr_10_pr_10/m_12_n_30_seed_03.txt,10,10,12,30,3,2650,3.20395,,,,,
dataset_D2/tr_10_pr_10/m_12_n_30_seed_04.txt,10,10,12,30,4,2653,3.42364,,,,,
