m,n,median,iqr
4,4,0.01,0.00
4,6,0.01,0.00
4,8,0.01,0.00
4,10,0.01,0.00
4,12,0.01,0.00
4,14,0.02,0.00
4,16,0.02,0.00
4,18,0.03,0.00
4,20,0.03,0.00
4,22,0.03,0.01
4,24,0.03,0.00
4,26,0.03,0.00
4,28,0.03,0.01
4,30,0.04,0.00
5,4,0.01,0.00
5,6,0.01,0.00
5,8,0.01,0.00
5,10,0.02,0.00
5,12,0.02,0.00
5,14,0.03,0.00
5,16,0.03,0.00
5,18,0.03,0.01
5,20,0.04,0.01
5,22,0.04,0.00
5,24,0.04,0.00
5,26,0.04,0.00
5,28,0.04,0.00
5,30,0.05,0.00
6,4,0.01,0.00
6,6,0.02,0.00
6,8,0.03,0.01
6,10,0.03,0.01
6,12,0.04,0.00
6,14,0.04,0.01
6,16,0.04,0.00
6,18,0.05,0.00
6,20,0.05,0.01
6,22,0.06,0.00
6,24,0.06,0.00
6,26,0.07,0.00
6,28,0.07,0.00
6,30,0.07,0.01
7,4,0.01,0.00
7,6,0.03,0.00
7,8,0.04,0.01
7,10,0.05,0.01
7,12,0.06,0.01
7,14,0.07,0.01
7,16,0.08,0.01
7,18,0.08,0.01
7,20,0.10,0.01
7,22,0.10,0.01
7,24,0.10,0.01
7,26,0.12,0.01
7,28,0.12,0.02
7,30,0.14,0.01
8,4,0.02,0.01
8,6,0.04,0.00
8,8,0.06,0.01
8,10,0.09,0.01
8,12,0.11,0.01
8,14,0.12,0.04
8,16,0.15,0.01
8,18,0.19,0.03
8,20,0.18,0.01
8,22,0.26,0.04
8,24,0.23,0.05
8,26,0.25,0.05
8,28,0.27,0.07
8,30,0.28,0.07
9,4,0.03,0.01
9,6,0.07,0.04
9,8,0.13,0.01
9,10,0.17,0.03
9,12,0.25,0.04
9,14,0.27,0.08
9,16,0.35,0.13
9,18,0.38,0.05
9,20,0.46,0.12
9,22,0.51,0.07
9,24,0.66,0.14
9,26,0.63,0.24
9,28,0.73,0.07
9,30,0.61,0.17
10,4,0.04,0.02
10,6,0.12,0.04
10,8,0.33,0.09
10,10,0.42,0.08
10,12,0.65,0.24
10,14,0.72,0.38
10,16,1.00,0.24
10,18,1.58,0.38
10,20,1.11,0.15
10,22,1.35,0.39
10,24,1.60,0.36
10,26,1.57,0.27
10,28,1.96,0.49
10,30,2.38,0.84
11,4,0.05,0.02
11,6,0.31,0.09
11,8,0.63,0.24
11,10,1.37,0.64
11,12,1.76,0.51
11,14,1.93,0.67
11,16,2.92,0.89
11,18,3.40,0.81
11,20,2.97,1.18
11,22,3.85,0.58
11,24,4.88,1.53
11,26,5.02,2.27
11,28,5.25,1.63
11,30,6.78,3.63
12,4,0.05,0.03
12,6,0.74,0.17
12,8,1.61,0.40
12,10,2.62,1.74
12,12,4.92,2.12
12,14,5.52,1.54
12,16,6.71,1.60
12,18,9.69,3.67
12,20,16.24,3.33
12,22,12.73,6.10
12,24,12.52,4.21
12,26,14.55,14.11
12,28,18.95,5.79
12,30,16.77,2.45
13,4,0.13,0.05
13,6,2.13,0.60
13,8,4.81,3.76
13,10,8.67,2.59
13,12,12.99,5.83
13,14,21.87,4.71
13,16,24.71,15.28
13,18,34.38,11.90
13,20,48.05,24.46
13,22,41.01,20.09
13,24,34.96,8.61
13,26,41.38,30.53
13,28,47.89,9.90
13,30,64.34,41.18
14,4,0.18,0.16
14,6,3.00,2.14
14,8,15.08,10.87
14,10,42.24,47.23
14,12,37.38,22.56
14,14,54.34,18.34
14,16,86.12,27.78
14,18,117.02,42.51
14,20,152.53,48.73
14,22,130.45,68.92
14,24,177.29,99.12
14,26,211.69,139.26
14,28,223.24,37.75
14,30,241.24,128.56
15,4,0.24,0.24
15,6,15.63,14.36
15,8,65.87,130.64
15,10,89.36,74.05
15,12,188.24,275.25
15,14,306.73,289.11
15,16,400.44,317.27
15,18,289.74,162.56
15,20,564.05,1233.32
15,22,712.42,471.61
15,24,617.54,385.50
15,26,656.93,337.14
15,28,1576.65,2464.28
15,30,1359.22,1075.75
