tr,pr,m,n,median,iqr
10,10,12,10,0.62,0.04
10,10,12,20,1.94,0.10
10,10,12,30,3.25,0.24
10,20,12,10,0.69,0.07
10,20,12,20,2.15,0.15
10,20,12,30,3.62,0.28
10,30,12,10,0.93,0.12
10,30,12,20,2.88,0.44
10,30,12,30,4.86,0.65
10,40,12,10,1.68,0.52
10,40,12,20,5.25,1.51
10,40,12,30,9.14,2.99
10,50,12,10,3.51,2.02
10,50,12,20,11.68,5.91
10,50,12,30,21.00,6.92
10,60,12,10,8.06,3.70
10,60,12,20,30.22,16.85
10,60,12,30,54.16,29.19
25,25,12,10,0.67,0.05
25,25,12,20,2.09,0.13
25,25,12,30,3.53,0.21
25,50,12,10,0.83,0.12
25,50,12,20,2.45,0.36
25,50,12,30,4.29,0.59
25,75,12,10,1.46,0.35
25,75,12,20,4.41,1.18
25,75,12,30,7.32,2.07
25,100,12,10,3.65,1.81
25,100,12,20,11.01,6.23
25,100,12,30,18.01,9.49
25,125,12,10,9.57,6.76
25,125,12,20,31.05,19.24
25,125,12,30,58.77,44.15
25,150,12,10,27.11,24.67
25,150,12,20,124.89,66.45
25,150,12,30,218.60,185.93
50,50,12,10,0.70,0.07
50,50,12,20,2.16,0.18
50,50,12,30,3.79,0.31
50,100,12,10,0.90,0.11
50,100,12,20,2.72,0.56
50,100,12,30,4.79,0.62
50,150,12,10,1.73,0.60
50,150,12,20,5.09,1.51
50,150,12,30,8.96,3.14
50,200,12,10,4.66,2.56
50,200,12,20,15.46,7.04
50,200,12,30,23.98,13.49
50,250,12,10,14.74,13.85
50,250,12,20,58.04,43.05
50,250,12,30,105.97,80.55
50,300,12,10,34.95,38.31
50,300,12,20,193.09,143.35
50,300,12,30,460.34,463.47
