heuristic,m,n,avg,std
u1,11,6,166.43,11.36
u1,11,12,212.82,9.33
u1,11,18,220.54,12.24
u1,11,24,232.90,14.71
u1,11,30,238.08,19.74
u1,13,6,182.12,19.22
u1,13,12,230.45,7.88
u1,13,18,253.18,12.92
u1,13,24,258.17,11.88
u1,13,30,274.27,21.45
u1,15,6,203.79,9.76
u1,15,12,259.72,16.93
u1,15,18,268.02,9.92
u1,15,24,282.38,22.03
u1,15,30,300.63,20.19
u2,11,6,9.18,2.00
u2,11,12,13.03,3.23
u2,11,18,16.03,2.56
u2,11,24,17.30,2.59
u2,11,30,16.34,4.09
u2,13,6,8.75,1.74
u2,13,12,13.68,2.08
u2,13,18,16.01,3.10
u2,13,24,18.77,2.65
u2,13,30,18.68,3.40
u2,15,6,8.98,2.23
u2,15,12,13.08,3.62
u2,15,18,17.34,2.72
u2,15,24,17.62,2.26
u2,15,30,18.19,3.85
h_rho1,11,6,9.06,2.76
h_rho1,11,12,15.66,2.94
h_rho1,11,18,15.63,3.07
h_rho1,11,24,16.64,3.81
h_rho1,11,30,15.91,3.62
h_rho1,13,6,10.26,3.17
h_rho1,13,12,15.86,2.25
h_rho1,13,18,17.53,2.12
h_rho1,13,24,20.03,1.11
h_rho1,13,30,20.04,4.47
h_rho1,15,6,10.07,4.01
h_rho1,15,12,17.18,3.62
h_rho1,15,18,20.11,4.91
h_rho1,15,24,21.72,4.09
h_rho1,15,30,19.73,4.51
h_rho2,11,6,0.38,0.27
h_rho2,11,12,1.04,0.62
h_rho2,11,18,0.94,0.62
h_rho2,11,24,0.81,0.72
h_rho2,11,30,1.17,0.77
h_rho2,13,6,0.31,0.19
h_rho2,13,12,0.68,0.33
h_rho2,13,18,0.97,0.33
h_rho2,13,24,1.53,1.22
h_rho2,13,30,1.89,1.06
h_rho2,15,6,0.67,0.70
h_rho2,15,12,0.64,0.18
h_rho2,15,18,1.18,0.78
h_rho2,15,24,1.63,1.44
h_rho2,15,30,1.32,0.94
