heuristic,tr,pr,m,n,avg,std
u1,50,10,12,30,0.38,0.73
u1,50,25,12,30,13.11,4.31
u1,50,50,12,30,51.29,8.10
u1,50,100,12,30,130.01,12.81
u1,50,150,12,30,209.14,20.49
u1,50,200,12,30,267.82,16.45
u1,50,250,12,30,317.56,15.85
u1,50,300,12,30,359.86,16.93
u2,50,10,12,30,74.72,8.92
u2,50,25,12,30,42.77,5.53
u2,50,50,12,30,29.98,3.91
u2,50,100,12,30,23.48,3.78
u2,50,150,12,30,21.64,3.75
u2,50,200,12,30,16.69,3.25
u2,50,250,12,30,10.86,2.72
u2,50,300,12,30,6.69,2.08
h_rho1,50,10,12,30,2.28,4.16
h_rho1,50,25,12,30,12.43,3.62
h_rho1,50,50,12,30,17.96,4.59
h_rho1,50,100,12,30,21.31,4.41
h_rho1,50,150,12,30,21.82,3.86
h_rho1,50,200,12,30,18.76,3.49
h_rho1,50,250,12,30,13.18,3.46
h_rho1,50,300,12,30,9.54,2.94
h_rho2,50,10,12,30,0.00,0.01
h_rho2,50,25,12,30,0.43,0.34
h_rho2,50,50,12,30,1.40,1.01
h_rho2,50,100,12,30,1.96,1.49
h_rho2,50,150,12,30,1.62,1.20
h_rho2,50,200,12,30,1.08,0.61
h_rho2,50,250,12,30,0.85,0.34
h_rho2,50,300,12,30,0.64,0.25
